	2019-nCoV	Adenovirus	Andes_virus	Parvovirus_B19	Bunyamwera_virus	Crimean-Congo_hemorrhagic_fever_virus	Chikungunya_virus	Cytomegalovirus	Dengue_virus	Ebola_virus	Epstein-Barr_virus	Echovirus_1	Influenza_A_virus	Influenza_B_virus	Influenza_C_virus	Human_Astrovirus	Hepatitis_A_virus	Hepatitis_B_virus	Human_coronavirus_strain_229E	Human_coronavirus_strain_NL63	Human_coronavirus_OC43	Hepatitis_C_virus	Hepatitis_D_virus	Hendra_virus	Hepatitis_E_virus	Enterovirus_A	Enterovirus_B	Enterovirus_C	Enterovirus_D	Enterovirus_J	Human_herpesvirus_6	Human_herpesvirus_7	Human_immunodeficiency_virus_1	Human_immunodeficiency_virus_2	Human_metapneumovirus	Human_parainfluenza_virus_1	Human_papillomavirus	Human_rhinovirus_A	Human_rhinovirus_B	Herpes_simplex_virus_1	Hantavirus	Japanese_encephalitis_virus	Kunjin_virus	Lassa_virus	Mammarenavirus_lymphocytic_choriomeningitis_virus	Marburg_virus	Molluscum_contagiosum_virus	Middle_East_respiratory_syndrome_coronavirus	Measles_virus	Nipah_virus	Norovirus	Parechovirus_A3	Powassan_virus	Rabies_virus	Ravn_virus	Ross_River_virus	Respiratory_syncytial_virus	Rubella_virus	Rift_Valley_fever_virus	Saffold_virus	Severe_acute_respiratory_syndrome_coronavirus	Severe_fever_with_thrombocytopenia_syndrome_virus	Sindbis_virus	Tick-borne_encephalitis_virus	Vaccinia_virus	Vesicular_stomatitis_virus	West_Nile_virus	Yellow_fever_virus	Zika_virus
Hepatitis_C_virus	0.16762163	0.18585269	0.16260286	0.18781272	0.16436364	0.17366392	0.17314304	0.19283259	0.1788728	0.18564434	0.19783311	0.17236681	0.19137121	0.17356419	0.17885835	0.18244533	0.18895085	0.17673631	0.16376706	0.16689238	0.17189291	1	0.19916766	0.16616314	0.19095477	0.18521516	0.17961887	0.17930108	0.17320704	0.17617563	0.1839775	0.17856027	0.16784664	0.17418481	0.16564225	0.16230857	0.15732207	0.16491523	0.17605438	0.19752058	0.1677292	0.18543598	0.18543598	0.18253968	0.17080838	0.16512137	0.19658298	0.17397646	0.18324826	0.1644963	0.19402985	0.17487752	0.19272841	0.17366392	0.16324617	0.18335243	0.15501615	0.20325034	0.18051218	0.17375231	0.17064278	0.19152678	0.1849151	0.18606105	0.15918325	0.16782998	0.1798104	0.17783102	0.18106053
Hepatitis_D_virus	0.18549346	0.21819263	0.18192628	0.18549346	0.16646849	0.19381688	0.19441141	0.21165279	0.19857313	0.1979786	0.22116528	0.19560048	0.18252081	0.17598098	0.18252081	0.19262782	0.18133175	0.19143876	0.19560048	0.17419738	0.19322235	0.19916766	1	0.19322235	0.21462545	0.18014269	0.18846611	0.18846611	0.18787158	0.19084423	0.21938169	0.19619501	0.18787158	0.18608799	0.18846611	0.17954816	0.18311534	0.17538644	0.16765755	0.22889417	0.18787158	0.20154578	0.19441141	0.18965517	0.18727705	0.18668252	0.20273484	0.18906064	0.22235434	0.19857313	0.21938169	0.17954816	0.20095125	0.19084423	0.18668252	0.21640904	0.1706302	0.20630202	0.20154578	0.19619501	0.17360285	0.20630202	0.20332937	0.20749108	0.19322235	0.20214031	0.19916766	0.19560048	0.1979786
Hendra_virus	0.19057804	0.17067018	0.20557757	0.19835597	0.20916364	0.19078295	0.18121089	0.16957332	0.18900792	0.19463639	0.17308325	0.19226053	0.21059376	0.20481419	0.21395349	0.1893439	0.187654	0.20158103	0.19107162	0.19392344	0.19194911	0.16616314	0.19322235	1	0.1689878	0.18413598	0.18934991	0.18642473	0.19837618	0.19298008	0.18882308	0.19726884	0.19224485	0.190752	0.1988764	0.26294872	0.19815668	0.20260614	0.19187014	0.15032357	0.20765027	0.18367347	0.17911594	0.19753086	0.1995509	0.1997916	0.1619502	0.18651969	0.27170014	0.51546561	0.17527746	0.19801306	0.17593874	0.19032853	0.1997916	0.17594578	0.21374498	0.1535546	0.19612742	0.19260628	0.19299112	0.18609113	0.17655547	0.17619603	0.19611714	0.18473845	0.1804334	0.18560118	0.18791636
Hepatitis_E_virus	0.1638191	0.1844939	0.17342274	0.18137956	0.15345455	0.17846375	0.17961235	0.19339555	0.17846375	0.1781766	0.2	0.1730079	0.18197352	0.17525338	0.17589852	0.18156466	0.18363245	0.17843027	0.17257717	0.17085427	0.17803302	0.19095477	0.21462545	0.1689878	1	0.1954056	0.1787509	0.17430007	0.16884422	0.16913137	0.1833453	0.18578607	0.1666906	0.17056712	0.16525485	0.16597272	0.16970567	0.17788945	0.18348887	0.20143575	0.16621129	0.18607322	0.18234027	0.18489124	0.17724551	0.1615219	0.19210337	0.17688442	0.18076095	0.16984925	0.19497487	0.17659727	0.1810481	0.1781766	0.16539842	0.1747308	0.15778894	0.2063173	0.18019988	0.1793252	0.17085427	0.17857714	0.17961235	0.18750897	0.16582915	0.1707107	0.18176597	0.18348887	0.17903805
Enterovirus_A	0.19182517	0.18440577	0.18226151	0.18870622	0.18254545	0.18481047	0.18103332	0.17617699	0.18440577	0.18872251	0.18062863	0.19934596	0.20717642	0.1870777	0.20295983	0.19506825	0.22312154	0.18548842	0.19074599	0.19020639	0.18143801	0.18521516	0.18014269	0.18413598	0.1954056	1	0.48182187	0.46620801	0.4300406	0.45588833	0.18494537	0.18157291	0.18710374	0.19155538	0.18899231	0.18588965	0.1823823	0.29284013	0.33934517	0.1755025	0.18867638	0.1895319	0.17752597	0.19723692	0.18413174	0.19182517	0.18184271	0.18912721	0.18885741	0.18656414	0.18804802	0.20182363	0.18076352	0.18588965	0.19209497	0.18602455	0.18143801	0.17347902	0.20284197	0.21651153	0.18481047	0.18593125	0.18561986	0.1896668	0.18400108	0.18642925	0.18845272	0.18481047	0.1896668
Enterovirus_B	0.18745776	0.18042979	0.18881439	0.18799142	0.18894545	0.18394378	0.18407893	0.17475335	0.18975537	0.18353832	0.18232194	0.19389563	0.20205041	0.20016892	0.20295983	0.19638926	0.20408163	0.19339356	0.18042979	0.18015948	0.18461954	0.17961887	0.18846611	0.18934991	0.1787509	0.48182187	1	0.3758616	0.4037889	0.4783846	0.18232194	0.19421543	0.19678335	0.19124206	0.19191783	0.19326936	0.17948371	0.31820092	0.36556604	0.17137451	0.1848816	0.19043114	0.18529531	0.19547325	0.18877246	0.18488985	0.17340181	0.1827274	0.1827274	0.18813353	0.17759157	0.19338596	0.18448439	0.18205163	0.18488985	0.18691715	0.19029599	0.16934721	0.1850406	0.22922016	0.18488985	0.19200639	0.17475335	0.18556562	0.18259224	0.18516016	0.19124206	0.18718746	0.18421408
Enterovirus_C	0.19233871	0.17594086	0.18942396	0.18137956	0.18298182	0.18548387	0.17741935	0.18682796	0.18561828	0.17889785	0.19072581	0.18967162	0.20333191	0.2027027	0.20803383	0.19227947	0.20456989	0.19339356	0.18884409	0.18387097	0.18534946	0.17930108	0.18846611	0.18642473	0.17430007	0.46620801	0.3758616	1	0.39972936	0.39964765	0.18669355	0.18965054	0.18427419	0.19583333	0.1922043	0.18870968	0.18857527	0.30503012	0.36084906	0.17352151	0.18564056	0.18575269	0.1811828	0.18871252	0.18263473	0.19274194	0.1766129	0.18857527	0.18790323	0.18360215	0.17715054	0.2005988	0.19018817	0.18642473	0.19274194	0.19193548	0.20120968	0.16142473	0.19003748	0.21303763	0.19126344	0.18673062	0.18575269	0.18494624	0.19099462	0.1891129	0.18198925	0.18736559	0.18212366
Enterovirus_D	0.19404601	0.17280108	0.19612923	0.19085061	0.19243636	0.19688769	0.1849797	0.17456022	0.18538566	0.18633288	0.18728011	0.21624199	0.20803076	0.22170608	0.22029598	0.19095846	0.22341001	0.19339356	0.18903924	0.19769959	0.197023	0.17320704	0.18787158	0.19837618	0.16884422	0.4300406	0.4037889	0.39972936	1	0.36305732	0.1894452	0.19066306	0.19553451	0.19066306	0.1985115	0.19905277	0.18660352	0.29213955	0.32519423	0.16224628	0.1986946	0.19147497	0.18484438	0.20076426	0.18637725	0.19350474	0.1691475	0.18673884	0.18985115	0.19729364	0.17198917	0.22305389	0.19296346	0.1864682	0.19350474	0.18186739	0.20027064	0.16251691	0.19237976	0.22787551	0.19012179	0.20175859	0.18051421	0.18836265	0.1879567	0.19147497	0.18322057	0.18403248	0.18335589
Enterovirus_J	0.19867191	0.171839	0.19612923	0.19406719	0.18967273	0.19067624	0.1834937	0.17468492	0.18742377	0.18999864	0.17956363	0.19852841	0.1994874	0.20185811	0.20634249	0.1893439	0.21791571	0.1863354	0.19812983	0.19528391	0.19636807	0.17617563	0.19084423	0.19298008	0.16913137	0.45588833	0.4783846	0.39964765	0.36305732	1	0.19758775	0.19555495	0.19582599	0.19298008	0.19894295	0.19419976	0.18444234	0.33515483	0.38554384	0.16628269	0.19641773	0.19081176	0.19013416	0.20194004	0.18997006	0.20084022	0.17604011	0.19650359	0.18227402	0.18972761	0.17604011	0.20359281	0.18105434	0.1828161	0.20084022	0.18376474	0.20463477	0.16059087	0.18816365	0.22672449	0.19812983	0.18481215	0.18823689	0.1834937	0.20178886	0.18688169	0.1841713	0.19230248	0.18362922
Human_herpesvirus_6	0.19272314	0.17186169	0.20161536	0.19781987	0.20567273	0.18987446	0.18315576	0.15943719	0.18332557	0.18416216	0.15981346	0.19716583	0.20931226	0.21452703	0.20169133	0.19110524	0.19400856	0.20214568	0.19361197	0.20041375	0.19407306	0.1839775	0.21938169	0.18882308	0.1833453	0.18494537	0.18232194	0.18669355	0.1894452	0.19758775	1	0.22111314	0.20444396	0.18264311	0.19340824	0.19179487	0.20250896	0.19503993	0.19117647	0.15616665	0.20461445	0.17611152	0.17474916	0.20164609	0.19655689	0.19258135	0.15850574	0.19361695	0.18059541	0.19237093	0.19505039	0.19637997	0.18073623	0.18546765	0.19179659	0.1816934	0.19919689	0.19791026	0.18816365	0.19778189	0.18580888	0.18417266	0.17808335	0.17763217	0.18211259	0.18753174	0.18170278	0.182471	0.17505551
Human_herpesvirus_7	0.19526469	0.16148621	0.21334959	0.1931737	0.2144	0.19491245	0.17960426	0.14966684	0.1856544	0.18500236	0.15755814	0.20384249	0.21657411	0.21959459	0.22241015	0.19227947	0.19491635	0.19875776	0.20204417	0.20462382	0.20100192	0.17856027	0.19619501	0.19726884	0.18578607	0.18157291	0.19421543	0.18965054	0.19066306	0.19555495	0.22111314	1	0.19997822	0.18882131	0.20284644	0.20089744	0.20865335	0.21115315	0.19741953	0.14312649	0.21448087	0.17793367	0.1781625	0.20311581	0.20598802	0.20226012	0.14668801	0.19056159	0.17814443	0.196317	0.18356933	0.20590637	0.17353999	0.19016091	0.20226012	0.17628893	0.21315252	0.18664208	0.19722049	0.195687	0.19414473	0.18097522	0.175452	0.17404183	0.19301019	0.19470543	0.18324417	0.17621064	0.17986677
Human_immunodeficiency_virus_1	0.18995752	0.17754057	0.2048156	0.19335239	0.20698182	0.19627492	0.18581854	0.17372835	0.19703736	0.18897724	0.17862978	0.19634828	0.21571978	0.22381757	0.22071882	0.19095846	0.19374919	0.18774704	0.18603638	0.18908616	0.19017536	0.16784664	0.18787158	0.19224485	0.1666906	0.18710374	0.19678335	0.18427419	0.19553451	0.19582599	0.20444396	0.19997822	1	0.35170461	0.20477072	0.20313691	0.1938044	0.19588062	0.19145394	0.15891515	0.20628415	0.18309552	0.18570962	0.20723104	0.2	0.19387866	0.17209454	0.18505609	0.18320444	0.19551247	0.17578773	0.20155144	0.17656029	0.18178848	0.19387866	0.18886831	0.20172095	0.1533602	0.19081824	0.18089957	0.18963076	0.19392486	0.18451149	0.18178848	0.19420542	0.31565189	0.18777911	0.19104673	0.18113495
Human_immunodeficiency_virus_2	0.18997973	0.17607877	0.19811033	0.18817012	0.19723636	0.18969012	0.18351192	0.17463076	0.19026933	0.18438073	0.18756637	0.19484943	0.20845792	0.21157095	0.22156448	0.18861001	0.1893399	0.19113495	0.17974708	0.18051936	0.17849213	0.17418481	0.18608799	0.190752	0.17056712	0.19155538	0.19124206	0.19583333	0.19066306	0.19298008	0.18264311	0.18882131	0.35170461	1	0.20696978	0.19374457	0.18561188	0.19125683	0.20241398	0.16536345	0.19368549	0.1814847	0.18467033	0.19282775	0.19476048	0.19200695	0.17308621	0.18225697	0.18833864	0.19499952	0.17719097	0.19080022	0.19847476	0.18322232	0.19335843	0.18322232	0.19229655	0.1586765	0.18785134	0.19001848	0.1848634	0.19568345	0.19876436	0.1848634	0.18727676	0.19828169	0.18341539	0.18438073	0.18534608
Human_metapneumovirus	0.19910112	0.17498127	0.21014934	0.19067191	0.21745455	0.19656426	0.1857771	0.17498127	0.19217513	0.18629213	0.17445693	0.20179861	0.21529261	0.20481419	0.22875264	0.19418758	0.20451303	0.20214568	0.19550562	0.19146067	0.1917603	0.16564225	0.18846611	0.1988764	0.16525485	0.18899231	0.19191783	0.1922043	0.1985115	0.19894295	0.19340824	0.20284644	0.20477072	0.20696978	1	0.20958801	0.19354839	0.20947177	0.20421754	0.14898876	0.21387371	0.18139577	0.18606742	0.19135802	0.20254491	0.20224719	0.16217228	0.18561798	0.18861423	0.20344569	0.17502232	0.1974687	0.17842974	0.18923902	0.20224719	0.17980613	0.29737828	0.15693505	0.20003123	0.19371534	0.19370787	0.18816946	0.18046006	0.17808096	0.20509363	0.19011236	0.18124943	0.18155036	0.1865285
Human_parainfluenza_virus_1	0.19564103	0.16948718	0.20969217	0.19370979	0.21149091	0.19813347	0.18239472	0.17128205	0.19292035	0.19666667	0.17275641	0.19961848	0.22255446	0.22128378	0.22790698	0.19917804	0.1919336	0.19198193	0.18807692	0.1900641	0.18673077	0.16230857	0.17954816	0.26294872	0.16597272	0.18588965	0.19326936	0.18870968	0.19905277	0.19419976	0.19179487	0.20089744	0.20313691	0.19374457	0.20958801	1	0.19598054	0.20274625	0.20671476	0.15044872	0.20415908	0.17793367	0.18019231	0.20164609	0.21167665	0.19891026	0.1599359	0.18660256	0.26166667	0.26820513	0.16851639	0.20087099	0.18350401	0.19074757	0.19891026	0.17843356	0.2174972	0.14535956	0.19659588	0.18890943	0.19262821	0.18896882	0.17969612	0.16973342	0.20096154	0.19230769	0.18034273	0.18201068	0.18162472
Human_papillomavirus	0.20366103	0.17460317	0.19628162	0.18924232	0.19578182	0.19546851	0.17831541	0.18317972	0.18497184	0.18522785	0.17985151	0.19130672	0.20290474	0.2035473	0.21945032	0.19961838	0.18959927	0.20186335	0.19905274	0.21710189	0.19726062	0.15732207	0.18311534	0.19815668	0.16970567	0.1823823	0.17948371	0.18857527	0.18660352	0.18444234	0.20250896	0.20865335	0.1938044	0.18561188	0.19354839	0.19598054	1	0.19405913	0.19478357	0.15373784	0.20218579	0.17281106	0.18650794	0.18900647	0.19131737	0.1953405	0.16218638	0.20110087	0.18138761	0.19175627	0.1609063	0.19597169	0.18484383	0.18420379	0.1953405	0.17933948	0.20135689	0.13940092	0.18753904	0.17613927	0.19713262	0.18017586	0.171915	0.18177163	0.20135689	0.18919611	0.1734511	0.17076293	0.17434716
Human_rhinovirus_A	0.20190556	0.17374247	0.19963426	0.19549678	0.21047273	0.20050441	0.17878661	0.18228948	0.18859465	0.19153706	0.17962729	0.22348326	0.20803076	0.21537162	0.21564482	0.20137972	0.21787866	0.20863919	0.20428752	0.20652935	0.20765027	0.16491523	0.17538644	0.20260614	0.17788945	0.29284013	0.31820092	0.30503012	0.29213955	0.33515483	0.19503993	0.21115315	0.19588062	0.19125683	0.20947177	0.20274625	0.19405913	1	0.39834664	0.16435477	0.20567699	0.18607258	0.19896315	0.1984127	0.19850299	0.1947597	0.16645649	0.19644108	0.18831442	0.20232591	0.16799776	0.20428752	0.17752557	0.18607258	0.1947597	0.18228948	0.20961188	0.14922236	0.20190506	0.21283452	0.20008407	0.18545164	0.1843912	0.18859465	0.20540843	0.20008407	0.18228948	0.19700154	0.18649292
Human_rhinovirus_B	0.19492231	0.17758047	0.21426394	0.18674053	0.20392727	0.19797447	0.177303	0.17286349	0.19131521	0.19422863	0.18548835	0.22599889	0.21913712	0.21072635	0.21733615	0.19917804	0.23029967	0.19678148	0.19755827	0.20130411	0.19464484	0.17605438	0.16765755	0.19187014	0.18348887	0.33934517	0.36556604	0.36084906	0.32519423	0.38554384	0.19117647	0.19741953	0.19145394	0.20241398	0.20421754	0.20671476	0.19478357	0.39834664	1	0.15982242	0.20901639	0.18229745	0.18840178	0.20458554	0.20404192	0.19145394	0.17674806	0.19492231	0.19256382	0.20102664	0.17064373	0.20518868	0.17702553	0.18923418	0.19145394	0.18867925	0.20602109	0.15233074	0.18785134	0.23945616	0.1936737	0.19264588	0.1872919	0.18784684	0.19658713	0.19561598	0.18188124	0.18812431	0.17924528
Herpes_simplex_virus_1	0.15028592	0.19020991	0.15254496	0.1722659	0.15389091	0.15361744	0.1768138	0.21300469	0.17214718	0.16599275	0.18913166	0.15765091	0.17086715	0.16849662	0.16828753	0.16732717	0.17170276	0.17419537	0.15061143	0.15479258	0.14657949	0.19752058	0.22889417	0.15032357	0.20143575	0.1755025	0.17137451	0.17352151	0.16224628	0.16628269	0.15616665	0.14312649	0.15891515	0.16536345	0.14898876	0.15044872	0.15373784	0.16435477	0.15982242	1	0.15710383	0.17620262	0.16779461	0.16813639	0.16452096	0.14852987	0.20636964	0.15522567	0.17437829	0.14803245	0.20168389	0.16113228	0.17972138	0.16426416	0.14847756	0.18375225	0.14337437	0.23714403	0.16739538	0.16598891	0.15367551	0.17713829	0.18343095	0.18615923	0.13389655	0.1627095	0.17580923	0.17455349	0.18162472
Hantavirus	0.20476624	0.17167577	0.59524535	0.18548964	0.21979356	0.20446266	0.18032787	0.17926533	0.19535519	0.19414086	0.17789921	0.20279296	0.1994874	0.22128378	0.22198732	0.19292653	0.1968731	0.20271033	0.20006072	0.20825744	0.21357013	0.1677292	0.18787158	0.20765027	0.16621129	0.18867638	0.1848816	0.18564056	0.1986946	0.19641773	0.20461445	0.21448087	0.20628415	0.19368549	0.21387371	0.20415908	0.20218579	0.20567699	0.20901639	0.15710383	1	0.18306011	0.19307832	0.20399765	0.19793564	0.20628415	0.16226472	0.19763206	0.19156041	0.20233758	0.16894353	0.19930176	0.18063145	0.19080146	0.19945355	0.18199757	0.21812386	0.13964784	0.19846971	0.19156041	0.20598057	0.19808153	0.18412265	0.18427444	0.20765027	0.19641773	0.18533698	0.19064967	0.18063145
Japanese_encephalitis_virus	0.17556487	0.18002915	0.18835721	0.18531094	0.1856	0.18713557	0.18376458	0.18604227	0.36544015	0.18084913	0.18012026	0.18217741	0.19692439	0.19763514	0.20042283	0.1893439	0.1902477	0.19311124	0.17483601	0.17374271	0.17401603	0.18543598	0.20154578	0.18367347	0.18607322	0.1895319	0.19043114	0.18575269	0.19147497	0.19081176	0.17611152	0.17793367	0.18309552	0.1814847	0.18139577	0.17793367	0.17281106	0.18607258	0.18229745	0.17620262	0.18306011	1	0.18112245	0.19077014	0.18488024	0.17957362	0.17984694	0.17620262	0.18786443	0.18458455	0.19224391	0.18821448	0.36626995	0.18084913	0.17957362	0.1875	0.18012026	0.17271051	0.191599	0.17781885	0.18458455	0.18465228	0.17529155	0.34912536	0.17319606	0.1863156	0.62044461	0.38676119	0.39091414
Kunjin_virus	0.18065077	0.17437365	0.19917708	0.1917441	0.19810909	0.18334985	0.18332488	0.1708735	0.18043782	0.18169406	0.17017509	0.18762774	0.20119607	0.21114865	0.21437632	0.1880229	0.18895085	0.19424054	0.18236905	0.17907306	0.18128883	0.18543598	0.19441141	0.17911594	0.18234027	0.17752597	0.18529531	0.1811828	0.18484438	0.19013416	0.17474916	0.1781625	0.18570962	0.18467033	0.18606742	0.18019231	0.18650794	0.19896315	0.18840178	0.16779461	0.19307832	0.18112245	1	0.19635509	0.19775449	0.18128074	0.17048987	0.17860583	0.18179101	0.17790201	0.17974231	0.18875885	0.18470339	0.18052296	0.18128074	0.17731835	0.18668949	0.182647	0.18550906	0.18890943	0.18006117	0.18305356	0.18071471	0.17718338	0.17637222	0.1817547	0.18115876	0.1811821	0.18162472
Lassa_virus	0.19958848	0.18400941	0.20164609	0.18900647	0.19870664	0.19400353	0.19753086	0.18165785	0.19753086	0.18900647	0.19400353	0.19988242	0.21230243	0.20228041	0.20042283	0.19870664	0.1984127	0.19488536	0.1984127	0.19400353	0.19929453	0.18253968	0.18965517	0.19753086	0.18489124	0.19723692	0.19547325	0.18871252	0.20076426	0.20194004	0.20164609	0.20311581	0.20723104	0.19282775	0.19135802	0.20164609	0.18900647	0.1984127	0.20458554	0.16813639	0.20399765	0.19077014	0.19635509	1	0.19635509	0.19694297	0.18400941	0.20605526	0.20811287	0.19811875	0.18518519	0.20164609	0.19929453	0.20076426	0.19312169	0.18606702	0.20487948	0.17430923	0.1984127	0.19635509	0.19929453	0.19165197	0.18900647	0.1845973	0.20340976	0.19664903	0.19811875	0.19312169	0.19077014
Mammarenavirus_lymphocytic_choriomeningitis_virus	0.20449102	0.17844311	0.20801585	0.18691923	0.20164671	0.20164671	0.18547904	0.17814371	0.19326347	0.18802395	0.18128743	0.19550898	0.20845792	0.21326014	0.21606765	0.20508982	0.2010479	0.2001694	0.20179641	0.1989521	0.20284431	0.17080838	0.18727705	0.1995509	0.17724551	0.18413174	0.18877246	0.18263473	0.18637725	0.18997006	0.19655689	0.20598802	0.2	0.19476048	0.20254491	0.21167665	0.19131737	0.19850299	0.20404192	0.16452096	0.19793564	0.18488024	0.19775449	0.19635509	1	0.19625749	0.16437126	0.19191617	0.19026946	0.19550898	0.18053892	0.19655689	0.18562874	0.19221557	0.19625749	0.17934132	0.19805389	0.1511976	0.21314803	0.19356287	0.20179641	0.20191847	0.18158683	0.18203593	0.20359281	0.19461078	0.18727545	0.18862275	0.18997006
Marburg_virus	0.19681909	0.17374699	0.19750076	0.1924589	0.20523636	0.19540799	0.17740572	0.17364236	0.18332557	0.26345639	0.17186356	0.19307808	0.20034173	0.20650338	0.21226216	0.19653603	0.187654	0.19904009	0.19184891	0.19399393	0.19090719	0.16512137	0.18668252	0.1997916	0.1615219	0.19182517	0.18488985	0.19274194	0.19350474	0.20084022	0.19258135	0.20226012	0.19387866	0.19200695	0.20224719	0.19891026	0.1953405	0.1947597	0.19145394	0.14852987	0.20628415	0.17957362	0.18128074	0.19694297	0.19625749	1	0.15794705	0.18761118	0.18633429	0.20409953	0.16991963	0.19624388	0.17630778	0.18605431	0.99989536	0.16753882	0.20143506	0.14566687	0.19081824	0.1948244	0.19075024	0.19088729	0.17842288	0.17260569	0.19660981	0.18664297	0.1795267	0.1801694	0.17718357
Molluscum_contagiosum_virus	0.15737551	0.18824403	0.16824139	0.1729807	0.15738182	0.16270235	0.17918146	0.19861369	0.17065673	0.16720055	0.18360307	0.16991416	0.2007689	0.19467905	0.18350951	0.17701453	0.16975749	0.18068888	0.16112429	0.15214314	0.1560782	0.19658298	0.20273484	0.1619502	0.19210337	0.18184271	0.17340181	0.1766129	0.1691475	0.17604011	0.15850574	0.14668801	0.17209454	0.17308621	0.16217228	0.1599359	0.16218638	0.16645649	0.17674806	0.20636964	0.16226472	0.17984694	0.17048987	0.18400941	0.16437126	0.15794705	1	0.16389359	0.17085127	0.15756878	0.19670876	0.16467066	0.1848879	0.17013074	0.15789474	0.1799777	0.15647423	0.22136857	0.17083073	0.16746765	0.16258277	0.17713829	0.18275189	0.18140203	0.14142699	0.17623159	0.18143077	0.1778678	0.17875648
Middle_East_respiratory_syndrome_coronavirus	0.33769187	0.16781243	0.20100579	0.1922802	0.20392727	0.18731417	0.17486893	0.16724785	0.17894737	0.1822717	0.16970542	0.19457692	0.19393422	0.20016892	0.20972516	0.19316014	0.18843211	0.19791078	0.27713086	0.30105615	0.29822988	0.17397646	0.18906064	0.18651969	0.17688442	0.18912721	0.1827274	0.18857527	0.18673884	0.19650359	0.19361695	0.19056159	0.18505609	0.18225697	0.18561798	0.18660256	0.20110087	0.19644108	0.19492231	0.15522567	0.19763206	0.17620262	0.17860583	0.20605526	0.19191617	0.18761118	0.16389359	1	0.17802487	0.18749315	0.1700472	0.1989657	0.17538518	0.18437814	0.18766349	0.17268594	0.19031005	0.15498873	0.18878826	0.18496611	0.31612383	0.18577138	0.17451829	0.17736289	0.1871077	0.18397664	0.18079608	0.18311545	0.18143967
Measles_virus	0.18077475	0.17593257	0.18881439	0.18441744	0.18909091	0.18855302	0.18915948	0.18041607	0.18826269	0.18382353	0.18621473	0.18790026	0.2007689	0.20861486	0.20169133	0.18670189	0.18052133	0.1959345	0.17659015	0.17629125	0.17910091	0.18324826	0.22235434	0.27170014	0.18076095	0.18885741	0.1827274	0.18790323	0.18985115	0.18227402	0.18059541	0.17814443	0.18320444	0.18833864	0.18861423	0.26166667	0.18138761	0.18831442	0.19256382	0.17437829	0.19156041	0.18786443	0.18179101	0.20811287	0.19026946	0.18633429	0.17085127	0.17802487	1	0.2742109	0.18242123	0.19597169	0.1799059	0.18261817	0.18633429	0.17723256	0.18445132	0.17988117	0.19440974	0.18977203	0.18214969	0.19376499	0.1831763	0.1816713	0.17814443	0.1805485	0.1892284	0.1870742	0.18005181
Nipah_virus	0.19193248	0.17006467	0.19856751	0.19120801	0.20683636	0.19301288	0.18247928	0.17275019	0.18798323	0.20590814	0.17159925	0.19771086	0.2127296	0.20988176	0.21649049	0.18890357	0.19491635	0.19762846	0.19231612	0.19269977	0.19001425	0.1644963	0.19857313	0.51546561	0.16984925	0.18656414	0.18813353	0.18360215	0.19729364	0.18972761	0.19237093	0.196317	0.19551247	0.19499952	0.20344569	0.26820513	0.19175627	0.20232591	0.20102664	0.14803245	0.20233758	0.18458455	0.17790201	0.19811875	0.19550898	0.20409953	0.15756878	0.18749315	0.2742109	1	0.16673045	0.203865	0.18092075	0.18672477	0.20409953	0.1723428	0.20755711	0.14740832	0.19643973	0.18730746	0.19105557	0.1942446	0.17952636	0.18185082	0.19856407	0.19070594	0.18279082	0.18624563	0.18569578
Norovirus	0.16749585	0.19198877	0.16580311	0.1726233	0.16538182	0.17030233	0.18305906	0.20627631	0.17795637	0.1844623	0.19441255	0.17332062	0.18838103	0.18327703	0.17251586	0.17848231	0.17066528	0.18125353	0.16864396	0.16035209	0.1708126	0.19402985	0.21938169	0.17527746	0.19497487	0.18804802	0.17759157	0.17715054	0.17198917	0.17604011	0.19505039	0.18356933	0.17578773	0.17719097	0.17502232	0.16851639	0.1609063	0.16799776	0.17064373	0.20168389	0.16894353	0.19224391	0.17974231	0.18518519	0.18053892	0.16991963	0.19670876	0.1700472	0.18242123	0.16673045	1	0.17324442	0.18752392	0.18012502	0.16851639	0.18216609	0.16609261	0.19760173	0.17676452	0.17106774	0.17680827	0.19008793	0.18586554	0.19275418	0.16762342	0.17259855	0.18395203	0.18663095	0.18344177
Parechovirus_A3	0.19637997	0.1831791	0.2008534	0.19835597	0.2144	0.19787697	0.18195427	0.17964072	0.19011976	0.19148068	0.18195427	0.74846709	0.21358394	0.20608108	0.21183932	0.19169235	0.24251497	0.20496894	0.19801306	0.19774088	0.20073489	0.17487752	0.17954816	0.19801306	0.17659727	0.20182363	0.19338596	0.2005988	0.22305389	0.20359281	0.19637997	0.20590637	0.20155144	0.19080022	0.1974687	0.20087099	0.19597169	0.20428752	0.20518868	0.16113228	0.19930176	0.18821448	0.18875885	0.20164609	0.19655689	0.19624388	0.16467066	0.1989657	0.19597169	0.203865	0.17324442	1	0.18236255	0.1846761	0.19637997	0.17868808	0.20821992	0.14861187	0.19222361	0.22223734	0.20127926	0.18928857	0.17855199	0.18644529	0.19515514	0.19093631	0.18181818	0.18290691	0.18549265
